IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
382405,Canòdrom. Centre d'Art Contemporani de Barcelona,Canòdrom. Centre d'Art Contemporani de Barcelona,Cultura|Espais d'art i sales d'exposició||,," C/ Concepció Arenal, 165-185",,,08027,Barcelona,Barcelonès,933522100,,,431826.513,4586509.435,2.184102719450739,41.42725559159731,,,02/08/2018 06:12:53 AM +0000,Any del cens|2012|Titularitat|Pública   ,
382406,Centre d'Art Santa Mònica,Centre d'Art Santa Mònica,Cultura|Espais d'art i sales d'exposició||,," la Rambla, 7",,,08002,Barcelona,Barcelonès,9356711,,,4580983.887494231,431088.2986829513,2.1758977,41.3774258,,http://www.artssantamonica.cat,02/08/2018 06:12:52 AM +0000,Any del cens|2012|Titularitat|Pública   ,
