IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
55455,Reial Club Marítim de Barcelona,Reial Club Marítim de Barcelona,Mobilitat. Transports|Ports esportius||,pl., d' Espanya,,s/n,08014,Barcelona,Barcelonès,,,,431770,4581049,2.182939476,41.376221752,,,01/31/2018 12:59:31 PM +0000,,
55454,Port Olímpic,Port Olímpic,Mobilitat. Transports|Ports esportius||,, Edifici Capitania,,s/n,08005,Barcelona,Barcelonès,,,,433176,4581863,2.20083333,41.3855556,,,01/31/2018 12:59:32 PM +0000,,
759372,Reial Club Nàutic de Barcelona,Reial Club Nàutic de Barcelona,Mobilitat. Transports|Ports esportius||,, null null null,,,-,Barcelona,Barcelonès,,,,432035,4581152,2.186096645,41.377171885,,,01/31/2018 12:59:31 PM +0000,,
759374,Marina Port Vell de Barcelona,Marina Port Vell de Barcelona,Mobilitat. Transports|Ports esportius||,, null null null,,,-,Barcelona,Barcelonès,,,,431652,4580784,2.181558394,41.373824945,,,01/31/2018 12:59:32 PM +0000,,
