IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,NUM,CPOSTAL,POBLACIO,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,LOCALITZACIO
759220,Estació d'autobusos de Barcelona Sants,Estació d'autobusos de Barcelona Sants,Mobilitat. Transports|Estacions d'autobusos||,c., c. de Viriat,,,08014,Barcelona,Barcelonès,,,,428031,4581288,2.139284,41.379854,,,01/31/2018 12:59:18 PM +0000,,
759216,Estació d'autobusos de Barcelona Sant Andreu,Estació d'autobusos de Barcelona Sant Andreu,Mobilitat. Transports|Estacions d'autobusos||,av., av. Meridiana 416,,,08030,Barcelona,Barcelonès,,,,431827,4587193,2.183421,41.431418,,http://www.barcelonanord.cat,01/31/2018 12:59:19 PM +0000,,
759218,Estació d'autobusos de Barcelona Nord,Estació d'autobusos de Barcelona Nord,Mobilitat. Transports|Estacions d'autobusos||,c., c. d' Alí Bei 80,,,08013,Barcelona,Barcelonès,,,,431637,4582769,2.182003,41.394123,,http://www.barcelonanord.cat,01/31/2018 12:59:19 PM +0000,,
